22910603,0,0
22910609,2,6
22910585,0,6
22910605,2,2
22911401,-4,-2
22913218,4,4
22915471,8,6
22919374,10,8
22914535,6,-2
22928278,8,8
22930770,6,6
22930924,4,4
22935304,-2,-4
22935320,6,6
22935327,6,6
22935329,8,8
22935338,4,6
22935345,-2,2
22935347,2,6
22935354,2,-2
22935361,0,0
22935363,6,6
22935370,2,2
22935372,6,6
22935377,-4,-2
22935379,6,6
22935386,-4,-4
22935388,2,4
22935397,2,2
22935402,-2,4
22935404,10,10
22935406,-2,2
22935411,8,8
22935413,6,6
22935420,4,6
22935427,8,10
22935303,6,6
22935305,4,6
22935310,6,6
22935306,8,8
22935307,6,6
22935323,-2,2
22935324,2,2
22935325,8,8
22935326,8,6
22935316,6,6
22935317,4,6
22935331,2,6
22935332,4,6
22935333,-2,-2
22935334,6,6
22935340,8,6
22935341,4,4
22935342,6,6
22935343,4,4
22935348,6,4
22935349,6,6
22935350,8,10
22935351,6,6
22935365,6,4
22935366,6,6
22935359,2,6
22935360,-2,2
22935373,0,0
22935374,2,2
22935375,6,6
22935376,4,2
22935390,4,4
22935312,6,6
22935314,2,6
22935319,6,10
22935321,6,6
22910125,10,8
22912117,0,0
22912118,0,0
22912127,6,8
22912113,-2,4
22912128,-4,-4
22912131,0,0
22912103,-4,-2
22925903,6,8
22934266,6,6
22940684,4,2
22941134,8,4
22987791,6,4
22998023,4,4
23006755,6,6
23015820,6,6
23025215,6,4
23026726,0,10
23026966,10,8
23027129,2,4
23027706,-2,2
23028181,6,10
23028434,0,8
23028445,0,8
23031823,4,4
23043520,-2,2
23048709,-4,2
23065104,8,8
23065173,6,6
23087668,-4,4
23087932,6,4
23088820,6,6
23089135,6,4
23089466,4,-4
23089669,8,4
23089887,6,8
23089820,6,6
23090291,2,4
23092036,6,8
23092384,2,4
23092557,2,2
23092578,2,2
23093075,0,8
23093381,8,2
23093497,10,6
23093735,4,2
23093932,6,6
23094195,2,6
23094482,2,4
23095289,0,8
23095226,0,10
23095625,6,6
23095627,6,8
23095579,0,10
23095611,4,10
23095620,8,8
23095624,6,6
23096677,0,10
23098581,6,8
23098583,10,8
23098589,10,8
23098591,6,6
23098582,10,10
23098586,6,6
23098587,6,6
23098584,8,8
23098588,8,10
23098637,2,6
23098592,10,10
23098699,2,6
23098703,2,4
23098862,8,8
23099578,4,8
23099595,0,8
23099820,4,4
23099776,10,10
23100287,2,6
